团购名,店名,团购活动ID,团购介绍,购买人数,团购评价,评价人数,到期时间,团购价,市场价,地址,团购内容,备注,购买须知
嘛嘛香12元单人餐,嘛嘛香(永乐路店),39117034,仅售12元价值17元单人餐！需预约！,0,暂无评价,暂无评价,2018/8/14,12,17,【西安市新城区永乐路西口291号新安仁坊小区底商】,【内容: 素串 规格: 5串 价格: 5元】【内容: 荦串 规格: 5串 价格: 10元】【内容: 米饭 规格: 1份 价格: 2元】,随便退,"【有效期2017年07月19日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 22:30】
【预约提示请至少提前1小时预约详询商家】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年07月19日至2018年08月14日】
【可用时间周末法定节假日通用11:30 - 22:30】
【预约提示请至少提前1小时预约详询商家】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
"
古城串串100元代金券,古城串串,30927716,仅售91元价值100元代金券！,0,暂无评价,暂无评价,2018/9/15,91,100,【西安市未央区凤城三路弘扬葫芦头向西10米】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2016年06月23日至2018年09月15日】
【可用时间周末法定节假日通用17:00 - 次日00:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供收费停车位路边车位2元/小时店内无网络本单仅限堂食不可外带商家不提供餐后打包服务】
【有效期2016年06月23日至2018年09月15日】
【可用时间周末法定节假日通用17:00 - 次日00:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付】
【温馨提示提供收费停车位路边车位2元/小时店内无网络本单仅限堂食不可外带商家不提供餐后打包服务】
"
100元代金券！可使用包间免费WiFi！,嗲串串,35883107,仅售78元价值100元代金券！可使用包间免费WiFi！,14,5,1,2018/8/16,78,100,【西安市碑林区开通巷朱秀英梆梆肉葫芦头隔壁】,【内容: 代金券 规格: 1张 价格: 100元】,随便退,"【有效期2016年11月19日至2018年08月16日】
【可用时间周末法定节假日通用11:00 - 23:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单大厅包间均可使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2016年11月19日至2018年08月16日】
【可用时间周末法定节假日通用11:00 - 23:00周末、法定节假日通用】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用本单大厅包间均可使用代金券不兑现、不找零超出部分到店另付团购用户不可同时享受商家其他优惠酒水饮料等问题请致电商家咨询以商家反馈为准】
【温馨提示无停车位提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
七婆串串香火锅50元代金券,七婆串串香火锅,31366243,仅售42.5元价值50元代金券！免费WiFi！,20,暂无评价,暂无评价,2018/9/27,42.5,50,【西安市新城区韩森路新东尚小区南门向东30米】,【内容: 代金券 规格: 1张 价格: 50元】,随便退,"【有效期2016年07月06日至2018年09月27日】
【可用时间周末法定节假日通用10:00 - 21:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付温馨提示：代金券不包含酒水饮料油碗锅底餐巾纸】
【温馨提示无停车位提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
【有效期2016年07月06日至2018年09月27日】
【可用时间周末法定节假日通用10:00 - 21:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用超出收费标准：按当时店内实际价格收取费用或者另购买糯米券每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间代金券不兑现、不找零超出部分到店另付温馨提示：代金券不包含酒水饮料油碗锅底餐巾纸】
【温馨提示无停车位提供免费WiFi本单仅限堂食不可外带商家不提供餐后打包服务】
"
252元3-4人服务,天天鲜羊肉馆,32310908,仅售235元价值252元4人餐！,0,暂无评价,暂无评价,2018/8/6,235,252,【西安市长安区X104南二村卫生室北100米】,【内容: 鸳鸯锅底料 规格: 1份 价格: 20元】【内容: 熟羊肉 规格: 1盘 价格: 150元】【内容: 熟羊杂 规格: 1盘 价格: 60元】【内容: 青菜 规格: 1份 价格: 22元】,随便退,"【有效期2016年08月10日至2018年08月06日】
【可用时间周末法定节假日通用10:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
【有效期2016年08月10日至2018年08月06日】
【可用时间周末法定节假日通用10:00 - 23:00】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示本单堂食外带均可商家免费提供餐后打包服务】
"
双人餐！免费停车免费WiFi！,乐荷生日聚会桌游轰趴馆,38008536,仅售16.9元价值26元双人餐！免费停车免费WiFi！,0,暂无评价,暂无评价,2018/8/26,16.9,26,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 咖喱牛肉饭 规格: 1份 价格: 21元】,随便退,"【有效期2017年03月28日至2018年08月26日】
【可用时间周末法定节假日通用09:00 - 21:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费停车位提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年03月28日至2018年08月26日】
【可用时间周末法定节假日通用09:00 - 21:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费停车位提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
599元1-15人服务,乐荷生日聚会桌游轰趴馆,38018429,仅售599元价值1600元其它优享套餐！免费WiFi需预约！,0,暂无评价,暂无评价,2018/8/26,599,1600,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 生日轰趴场地布置 规格: 1份 价格: 300元】【内容: 自助厨房 规格: 1份 价格: 50元】【内容: 自助烹饪设备 规格: 1份 价格: 50元】【内容: 微波炉 规格: 1份 价格: 50元】【内容: 华夫饼机器 规格: 1份 价格: 150元】【内容: 百兆宽带WIFI 规格: 1份 价格: 50元】【内容: 高清投影观影 规格: 1份 价格: 300元】【内容: 美式黑八桌球 规格: 1份 价格: 100元】【内容: 电脑 规格: 2份 价格: 50元】【内容: 桌游畅玩 规格: 1份 价格: 300元】【内容: 桌游讲解 规格: 1份 价格: 100元】【内容: 喝酒、游戏道具 规格: 1份 价格: 50元】【内容: 书吧 规格: 1份 价格: 50元】,随便退,"【有效期2017年03月28日至2018年08月26日】
【可用时间周末法定节假日通用08:00 - 22:30】
【预约提示请至少提前1天预约详询商家预约逾期保留2小时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供免费WiFi】
【有效期2017年03月28日至2018年08月26日】
【可用时间周末法定节假日通用08:00 - 22:30】
【预约提示请至少提前1天预约详询商家预约逾期保留2小时】
【使用规则团购用户暂不享受店内其他优惠】
【温馨提示提供免费WiFi】
"
666元1-10人服务,乐荷生日聚会桌游轰趴馆,37967883,仅售666元价值2821元10人餐！免费WiFi！,0,暂无评价,暂无评价,2018/8/21,666,2821,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 滋奇鸳鸯锅 规格: 2份 价格: 110元】【内容: 秘制私房排骨 规格: 2份 价格: 110元】【内容: 香辣烤翅 规格: 2份 价格: 56元】【内容: 香甜玉米 规格: 2份 价格: 30元】【内容: 粉带 规格: 2份 价格: 24元】【内容: 豆腐皮 规格: 2份 价格: 24元】【内容: 草原肥牛 规格: 2份 价格: 72元】【内容: 撒尿牛丸 规格: 2份 价格: 48元】【内容: 毛肚 规格: 2份 价格: 64元】【内容: 鱼豆腐 规格: 2份 价格: 36元】【内容: 土豆 规格: 2份 价格: 28元】【内容: 蔬菜拼盘 规格: 2份 价格: 48元】【内容: 菌类拼盘 规格: 2份 价格: 48元】【内容: 自助料碗 规格: 10份 价格: 50元】【内容: 雪花冰爽 规格: 1打 价格: 170元】【内容: 爆米花 规格: 1份 价格: 35元】【内容: 锅巴（素小吃任选） 规格: 2份 价格: 40元】【内容: 薯片（素小吃任选） 规格: 2份 价格: 40元】【内容: 包场费用 规格: 1份 价格: 1788元】,随便退,"【有效期2017年03月24日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 22:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
【有效期2017年03月24日至2018年08月21日】
【可用时间周末法定节假日通用09:00 - 22:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券不限使用人数每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费WiFi本单堂食外带均可商家免费提供餐后打包服务】
"
乐荷桌游6人不限时畅玩,乐荷生日聚会桌游轰趴馆,37967776,仅售89元价值311元桌游套餐！免费WiFi！,1,暂无评价,暂无评价,2018/8/22,89,311,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 桌游讲解 规格: 1份 价格: 100元】,随便退,"【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用08:00 - 23:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限6人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用】
【温馨提示提供免费WiFi】
【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用08:00 - 23:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限6人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用】
【温馨提示提供免费WiFi】
"
乐荷桌游4人套餐,乐荷生日聚会桌游轰趴馆,37962753,仅售69元价值281元桌游套餐！免费WiFi！,2,暂无评价,暂无评价,2018/8/22,69,281,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 桌游讲解 规格: 1份 价格: 100元】,随便退,"【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用08:00 - 23:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限4人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用】
【温馨提示提供免费WiFi】
【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用08:00 - 23:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限4人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用】
【温馨提示提供免费WiFi】
"
乐荷饮品套餐,乐荷生日聚会桌游轰趴馆,37968157,仅售16.9元价值22元单人餐！免费WiFi！,3,暂无评价,暂无评价,2018/8/22,16.9,22,【西安市莲湖区二府街46号位置宾馆东10米】,【内容: 伯爵奶茶 规格: 1份 价格: 10元】,随便退,"【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用09:00 - 22:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
【有效期2017年03月24日至2018年08月22日】
【可用时间周末法定节假日通用09:00 - 22:30】
【预约提示无需预约直接消费（高峰期间消费需排号等位）】
【使用规则团购用户暂不享受店内其他优惠每张糯米券限1人使用超出收费标准：按当时店内实际价格收取费用每次消费不限使用糯米券张数可叠加使用仅限大厅使用无包间】
【温馨提示提供免费WiFi本单仅限堂食不可外带商家免费提供餐后打包服务】
"
